Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.110495058855137,0.0,0.0,0.110495058855137,0.08832523850756949,0.09420148251167726,0.09420148251167726,0.5689712427838597
2,0.12144380145377309,0.010948742598636096,0.010948742598636096,0.2319388603089101,0.09329595637938923,0.06115049902353498,0.15535198153521224,0.9083103992945771
3,0.15106635833859006,0.029622556884816964,0.018673814286180868,0.38300521864750015,0.10085536339439939,0.0723027328373127,0.22765471437252494,1.1689293693850071
4,0.2723108460965967,0.12124448775800667,0.0916219308731897,0.6553160647440969,0.15506393441736513,1.7036370909877565,1.9312918053602814,0.3226104998872214
5,0.4789307694948305,0.20661992339823376,0.0853754356402271,1.1342468342389274,0.21100841928754419,0.007295726399929259,1.9385875317602106,0.5563885860027635
6,0.05902628053076875,-0.41990448896406174,-0.6265244123622955,1.193273114769696,0.008916119937136355,0.004584288716958818,1.9431718204771693,0.5840297437593941
