Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.08886589851206883,0.0,0.0,0.08886589851206883,0.08574739872749425,1.3853815929221192e-05,1.3853815929221192e-05,0.8885358889941619
2,0.029841889060064686,-0.059024009452004145,-0.059024009452004145,0.11870778757213352,0.06348670500848824,0.03587723805906495,0.035891091874994174,0.8735509144435492
3,0.14702428096168285,0.11718239190161817,0.1762064013536223,0.26573206853381637,0.16332932368386918,0.0059966441343874965,0.04188773600938167,1.8728332413186581
4,0.38913082419103817,0.24210654322935532,0.12492415132773715,0.6548628927248545,0.21426184373114932,0.0010472016385814076,0.04293493764796308,4.581545306562679
5,0.06266208565765208,-0.3264687385333861,-0.5685752817627414,0.7175249783825066,0.011679158494058024,0.04708706105164717,0.09002199869961025,3.776010058271102
