Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.0044636225565513055,0.0,0.0,0.0044636225565513055,0.07632888978644274,0.027261185945767652,0.027261185945767652,0.0350745007079651
2,0.0044636225565513055,0.0,0.0,0.008927245113102611,0.07632888978644274,0.012714898272965236,0.03997608421873289,0.06377693134458953
3,2.6303928546411726e-07,-0.004463359517265841,-0.004463359517265841,0.008927508152388075,0.0746160539660867,0.003111920319774808,0.043088004538507696,0.062391730048800234
4,0.03999838235320696,0.0399981193139215,0.04446147883118734,0.04892589050559504,0.09392547844651868,0.004181864478620456,0.04726986901712815,0.3322192844478237
5,0.0044636225565513055,-0.03553475979665566,-0.07553287911057716,0.05338951306214634,0.059780268120834215,0.003185896799293042,0.050455765816421194,0.35485189133455763
6,0.0044636225565513055,0.0,0.03553475979665566,0.05785313561869765,0.08419250457447278,0.44251338507636173,0.4929691508927829,0.09756516933738144
7,0.0044636225565513055,0.0,0.0,0.062316758175248954,0.07632888978644274,0.018547466028936865,0.5115166169217198,0.10190525727484216
8,0.0044636225565513055,0.0,0.0,0.06678038073180026,0.07632888978644274,0.016197278459257003,0.5277138953809768,0.10638665357450693
9,0.0044636225565513055,0.0,0.0,0.07124400328835157,0.07632888978644274,0.0011292121558708068,0.5288431075368476,0.11329376506552068
10,0.0044636225565513055,0.0,0.0,0.07570762584490287,0.07632888978644274,0.04334791133524729,0.5721910188720949,0.11262814247642988
