Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.0044636225565513055,0.0,0.0,0.0044636225565513055,0.07632888978644274,1.3853815929221192e-05,1.3853815929221192e-05,0.0446300426015619
2,0.025673272561345106,0.0212096500047938,0.0212096500047938,0.03013689511789641,0.08497055260805166,0.03587723805906495,0.035891091874994174,0.22177241128961753
3,0.0044636225565513055,-0.0212096500047938,-0.0424193000095876,0.03460051767444772,0.06649794520140846,0.0059966441343874965,0.04188773600938167,0.24385840980759546
4,0.1251585113470357,0.1206948887904844,0.1419045387952782,0.15975902902148342,0.14605871653356764,0.0010472016385814076,0.04293493764796308,1.117704542013071
5,0.0044636225565513055,-0.1206948887904844,-0.2413897775809688,0.16422265157803473,0.03428473615740522,0.04708706105164717,0.09002199869961025,0.8642296823624114
