Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.08711814875760715,0.0,0.0,0.08711814875760715,0.08554210011004333,0.0078830278516544,0.0078830278516544,0.8075241350975039
2,0.8420962109401104,0.7549780621825033,0.7549780621825033,0.9292143596977176,0.8560738795901974,1.734465645156822,1.7423486730084763,0.5043640073734524
3,0.0044636225565513055,-0.8376325883835591,-1.5926106505660624,0.9336779822542689,0.000300798500784032,0.9180078548943005,2.6603565279027768,0.33824543055083
4,0.0044636225565513055,0.0,0.8376325883835591,0.9381416048108202,0.5048981430502939,0.9914572864485078,3.651813814351285,0.25005014940301123
5,0.0044636225565513055,0.0,0.0,0.9426052273673715,0.07632888978644274,0.19112104245962203,3.8429348568109067,0.2390618312496702
