Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.0044636225565513055,0.0,0.0,0.0044636225565513055,0.07632888978644274,1.3853815929221192e-05,1.3853815929221192e-05,0.0446300426015619
2,0.025673272561345106,0.0212096500047938,0.0212096500047938,0.03013689511789641,0.08497055260805166,0.03587723805906495,0.035891091874994174,0.22177241128961753
3,0.0044636225565513055,-0.0212096500047938,-0.0424193000095876,0.03460051767444772,0.06649794520140846,0.0013796729092869775,0.03727076478428115,0.25206035479456884
4,0.0044636225565513055,0.0,0.0212096500047938,0.03906414023099902,0.08093759377953542,0.0017728048778625771,0.03904356966214373,0.2809489164146129
5,0.0044636225565513055,0.0,0.0,0.04352776278755033,0.07632888978644274,0.04708706105164717,0.0861306307137909,0.23385598931581572
6,0.0044636225565513055,0.0,0.0,0.047991385344101634,0.07632888978644274,0.00015893739131445095,0.08628956810510535,0.2576171378368578
7,0.0044636225565513055,0.0,0.0,0.05245500790065294,0.07632888978644274,0.029930616337795923,0.11622018444290128,0.24259995909172433
8,0.2165534447051649,0.2120898221486136,0.2120898221486136,0.26900845260581785,0.20968742797047724,0.005269919313874327,0.1214901037567756,1.214539376897956
