Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.02507297708698175,0.0,0.0,0.02507297708698175,0.07853716201139206,0.0078830278516544,0.0078830278516544,0.23240891163583757
2,0.02507297708698175,0.0,0.0,0.0501459541739635,0.07853716201139206,1.734465645156822,1.7423486730084763,0.027218492844830133
3,0.02507297708698175,0.0,0.0,0.07521893126094525,0.07853716201139206,0.9180078548943005,2.6603565279027768,0.027249715933649336
4,0.02507297708698175,0.0,0.0,0.100291908347927,0.07853716201139206,0.9914572864485078,3.651813814351285,0.026731579260221947
5,0.02507297708698175,0.0,0.0,0.12536488543490876,0.07853716201139206,0.19112104245962203,3.8429348568109067,0.03179481528038873
