Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.02507297708698175,0.0,0.0,0.02507297708698175,0.07853716201139206,0.003874891014895354,0.003874891014895354,0.2413766873015189
2,0.02507297708698175,0.0,0.0,0.0501459541739635,0.07853716201139206,0.0011384113962940035,0.005013302411189358,0.4775200191077922
3,0.02507297708698175,0.0,0.0,0.07521893126094525,0.07853716201139206,0.061163064099946096,0.06617636651113545,0.4526451795773549
4,0.02507297708698175,0.0,0.0,0.100291908347927,0.07853716201139206,0.07132807565315147,0.13750444216428692,0.4222738212136383
5,0.02507297708698175,0.0,0.0,0.12536488543490876,0.07853716201139206,0.22383360808399821,0.36133805024828514,0.2717419154293458
