Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.04536650213143123,0.0,0.0,0.04536650213143123,0.08076855271719473,1.3853815929221192e-05,1.3853815929221192e-05,0.45360218010322984
2,0.03872680934768369,-0.006639692783747542,-0.006639692783747542,0.08409331147911492,0.07809842636285878,0.03587723805906495,0.035891091874994174,0.6188287276142582
3,0.07900840138280296,0.040281592035119274,0.046921284818866815,0.16310171286191788,0.09971080875522448,0.0013796729092869775,0.03727076478428115,1.1881751596432761
4,0.07446057634168968,-0.004547825041113285,-0.04482941707623256,0.23756228920360756,0.07396327470540308,0.0017728048778625771,0.03904356966214373,1.7085456722727301
5,0.09609205560959488,0.021631479267905207,0.026179304309018492,0.33365434481320244,0.09485956923575031,0.04708706105164717,0.0861306307137909,1.7925816053686274
6,0.03434511624026426,-0.06174693936933062,-0.08337841863723583,0.3679994610534667,0.05950396292835998,0.00015893739131445095,0.08628956810510535,1.9754163627983714
7,0.09609205560959488,0.06174693936933062,0.12349387873866124,0.4640915166630616,0.12745694914469552,0.029930616337795923,0.11622018444290128,2.1463838718795345
8,0.09150547194138858,-0.004586583668206301,-0.06633352303753692,0.5555969886044502,0.07133712226615692,0.005269919313874327,0.1214901037567756,2.5084506223111736
