Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.01069765362408892,0.0,0.0,0.01069765362408892,0.07699078210562761,0.6475097148301122,0.6475097148301122,0.014311056313856997
2,0.18478992971182306,0.17409227608773414,0.17409227608773414,0.19548758333591199,0.17851427345790027,0.06812573310863013,0.7156354479387423,0.23967519291853281
3,0.00298646290901583,-0.18180346680280723,-0.3558957428905414,0.19847404624492782,0.023089636941040426,0.37072945061644313,1.0863648985551855,0.16729595294553928
4,0.07752563683189517,0.07453917392287934,0.2563426407256866,0.275999683076823,0.17651427717711526,0.0016241560995837734,1.0879890546547692,0.23232510602299172
5,0.3193650219512475,0.24183938511935232,0.16730021119647298,0.5953647050280705,0.21802510011988624,1.00797375309729,2.095962807752059,0.2711178454053725
6,0.011500182168484585,-0.3078648397827629,-0.5497042249021152,0.6068648871965551,0.011661559835771967,0.2986662498791668,2.394629057631226,0.24326858750406896
7,0.19311901766631,0.18161883549782543,0.48948367528058834,0.7999839048628651,0.36348924351848716,0.08228164119216697,2.476910698823393,0.3104430065147909
8,0.6053304312108082,0.4122114135444982,0.23059257804667277,1.4053143360736733,0.3803612458543569,1.7414725417801744,4.2183832406035675,0.32542603510967144
9,0.006056451901700122,-0.5992739793091081,-1.0114853928536063,1.4113707879753734,0.002183488709205051,0.12134102005951153,4.339724260663079,0.3178960460406123
10,0.5101418044973267,0.5040853525956266,1.1033593319047346,1.9215125924727001,0.8888824209094536,0.09645306019888555,4.436177320861964,0.4235973280047118
11,0.09609205560959488,-0.4140497488877318,-0.9181351014833584,2.017604648082295,0.003972746425333028,1.1021396596890456,5.53831698055101,0.35783810222835727
12,0.12524822413121384,0.029156168521618953,0.4432059174093508,2.142852872213509,0.27821085757648034,0.3034379361476649,5.841754916698675,0.3606430932031961
13,0.5629627317660681,0.4377145076348543,0.40855833911323536,2.705815603979577,0.5019583956410753,0.004766670271236784,5.846521586969912,0.455024935906832
14,0.392265120880557,-0.17069761088551116,-0.6084121185203655,3.098080724860134,0.019694279204974317,0.01448035380481183,5.861001940774724,0.5197248307651936
15,0.5938072314303945,0.2015421105498375,0.37223972143534867,3.6918879562905285,0.42775224415909274,0.08752087835742028,5.948522819132144,0.610378445562391
16,0.04704299850439275,-0.5467642329260017,-0.7483063434758392,3.738930954794921,0.005372265847326132,0.07652236567441972,6.025045184806563,0.6104332036716235
17,0.48637968137390186,0.4393366828695091,0.9861009157955108,4.225310636168823,0.8357869343973227,1.517038414862102,7.542083599668665,0.5529003420417984
18,0.6554676773896494,0.16908799601574753,-0.2702486868537616,4.880778313558472,0.1035436306114883,1.6512899528902711,9.193373552558937,0.5251890807955897
19,0.3637299796747948,-0.2917376977148546,-0.4608256937306021,5.244508293233267,0.02586599236014019,0.3027368815862046,9.496110434145141,0.5465243787287102
20,0.001035643487650617,-0.3626943361871442,-0.07095663847228961,5.245543936720917,0.04419210527936756,0.055032598372495634,9.551143032517636,0.5435153037362606
21,0.6096226000194299,0.6085869565317793,0.9712812927189235,5.855166536740347,0.8740072972976306,1.9994146238494133,11.55055765636705,0.5025653457489642
22,0.002143699264945842,-0.6074789007544841,-1.2160658572862633,5.857310236005293,0.0011666390815145763,0.3798495116781553,11.930407168045205,0.4868754776283299
23,0.09638164682222028,0.09423794755727444,0.7017168483117585,5.953691882827513,0.4610691998264379,0.9294275478433158,12.859834715888521,0.4593956646320802
24,0.003239478454724498,-0.09314216836749578,-0.18738011592477022,5.956931361282238,0.04107460230187361,0.17184111530044144,13.031675831188963,0.4536307047067037
25,0.497374510041489,0.49413503158676453,0.5872771999542603,6.454305871323727,0.6229358933723673,0.19550019388687967,13.227176025075842,0.48429658760262356
26,0.610394183370043,0.113019673328554,-0.3811153582582105,7.06470005469377,0.06819609237244827,0.6626978514371173,13.88987387651296,0.504986686588677
27,0.07327906542489981,-0.5371151179451432,-0.6501347912736972,7.137979120118669,0.007557708026551083,1.0649510371763733,14.954824913689333,0.4741323237594158
28,0.049284065801458166,-0.02399499962344165,0.5131201183217016,7.187263185920127,0.28685486871406535,0.00273768098591054,14.957562594675244,0.4773191637577343
29,0.07297607315768584,0.023692007356227673,0.04768700697966932,7.260239259077813,0.09763501734471607,0.11653514470654758,15.074097739381791,0.47846266603615556
30,0.09609205560959488,0.023115982451909045,-0.0005760249043186283,7.356331314687408,0.08830779881911094,0.029557761194748178,15.10365550057654,0.48385280200596803
