Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.27448202388005516,0.0,0.0,0.27448202388005516,0.11024147053044187,1.3853815929221192e-05,1.3853815929221192e-05,2.7444400291306277
2,0.06504945362530312,-0.20943257025475204,-0.20943257025475204,0.3395314775053583,0.037682229537235955,0.03587723805906495,0.035891091874994174,2.498555812751084
3,0.016606511978692784,-0.04844294164661034,0.1609896286081417,0.35613798948405107,0.11500928513627272,0.0059966441343874965,0.04188773600938167,2.5099983938041204
4,0.07673735054995179,0.060130838571259004,0.10857378021786934,0.43287534003400285,0.11930356412060508,0.0010472016385814076,0.04293493764796308,3.0284781814516126
5,0.09609205560959488,0.019354705059643096,-0.04077613351161591,0.5289673956435977,0.07879481421543898,0.04708706105164717,0.09002199869961025,2.7837166184100486
