Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.09609205560959488,0.0,0.0,0.09609205560959488,0.08660096254621115,0.027261185945767652,0.027261185945767652,0.7550774801874351
2,0.049284065801458166,-0.04680798980813672,-0.04680798980813672,0.14537612141105305,0.06828697169418822,0.012714898272965236,0.03997608421873289,1.038578284443804
3,0.025526873880059142,-0.023757191921399023,0.023050797886737695,0.1709029952911122,0.0819370653677696,0.003111920319774808,0.043088004538507696,1.1943907935701132
4,0.02241042546792915,-0.0031164484121299907,0.020640743509269033,0.19331342075904134,0.0825966144840993,0.004181864478620456,0.04726986901712815,1.3126474685501222
5,0.09609205560959488,0.07368163014166573,0.07679807855379572,0.2894054763686362,0.11387203515101137,0.003185896799293042,0.050455765816421194,1.9235253285125324
6,0.010376123131459858,-0.08571593247813503,-0.15939756261980076,0.2997815995000961,0.04528900276058113,0.44251338507636173,0.4929691508927829,0.505560194908522
7,0.3316695892769732,0.32129346614551335,0.4070093986236484,0.6314511887770693,0.3869445579318521,0.018547466028936865,0.5115166169217198,1.032598577542663
8,0.0015389846124550521,-0.33013060466451816,-0.6514240708100315,0.6329901733895243,0.008308818409445251,0.016197278459257003,0.5277138953809768,1.00840554597783
9,0.15463301598275092,0.15309403137029587,0.483224636034814,0.7876231893722753,0.33955396322988735,0.0011292121558708068,0.5288431075368476,1.252495542898391
10,0.09609205560959488,-0.05854096037315604,-0.2116349917434519,0.8837152449818702,0.04524736488730402,0.04334791133524729,0.5721910188720949,1.3146787448375954
