Turn,R_model,v_model,a_model,C_model,z_n,L_n,R_user,C_user,rho
1,0.16579399263838202,0.0,0.0,0.16579399263838202,-1.502618022084854,0.18203537969623976,0.0004847556921030449,0.0004847556921030449,1.6499417398833516
2,0.017477630670505007,-0.148316361967877,-0.148316361967877,0.18327162330888702,-2.4666743748760545,0.07822770362541223,0.022131291525610775,0.02261604721771382,1.4946789385852144
3,0.18118055697038626,0.16370292629988126,0.31201928826775827,0.3644521802792733,-0.6610235440874412,0.34050972406132435,0.4515739611612276,0.47419000837894143,0.6347240024398858
4,1.7583393746727496,1.5771588177023634,1.4134558914024822,2.122791554952023,8.5495195965267,0.9998063993868216,0.4956600462775351,0.9698500546564766,1.9841953979556886
5,0.001572234949055562,-1.756767139723694,-3.3339259574260574,2.1243637899010785,-10.509706510739306,2.726971585571021e-05,0.026364259913951638,0.9962143145704282,1.9379091858817312
6,0.3662802631537455,0.36470802820468995,2.121475167928384,2.490644053054824,3.0104695977631923,0.9530448734539312,0.984333908913509,1.9805482234839373,1.1971095045728715
