Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.004017695394322951,0.0,0.0,0.004017695394322951,0.07628174448483407,1.3853815929221192e-05,1.3853815929221192e-05,0.04017138867298654
2,0.02113325497867402,0.01711555958435107,0.01711555958435107,0.025150950372996972,0.08318505985122945,0.03587723805906495,0.035891091874994174,0.18508167110860554
3,0.04644704868427951,0.025313793705605492,0.008198234121254422,0.07159799905727648,0.08467793468999471,0.0013796729092869775,0.03727076478428115,0.5215822842525254
4,0.3367107624559553,0.2902637137716758,0.2649499200660703,0.4083087615132318,0.28703659398154574,0.0017728048778625771,0.03904356966214373,2.936552639617672
5,0.0897788256461618,-0.24693193680979353,-0.5371956505814693,0.4980875871593936,0.014430855196427856,0.04708706105164717,0.0861306307137909,2.6760108492045687
6,0.1650980295459532,0.07531920389979141,0.32225114070958494,0.6631856167053468,0.22965145360975672,0.00015893739131445095,0.08628956810510535,3.5599718408879166
7,0.0700914915680777,-0.0950065379778755,-0.17032574187766691,0.7332771082734245,0.04738764459708075,0.029930616337795923,0.11622018444290128,3.3913443842569007
8,0.060118233929693954,-0.009973257638383748,0.08503328033949176,0.7933953422031185,0.10296589499064825,0.005269919313874327,0.1214901037567756,3.5820803220823256
