Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.33922488488253155,0.0,0.0,0.33922488488253155,0.12013391163688447,0.6475097148301122,0.6475097148301122,0.4538066571611417
2,0.13075532362571607,-0.20846956125681548,-0.20846956125681548,0.4699802085082476,0.04157687392239729,0.06812573310863013,0.7156354479387423,0.576213564155374
3,0.03341206377008876,-0.0973432598556273,0.11112630140118818,0.5033922722783364,0.09851396294846343,0.37072945061644313,1.0863648985551855,0.4243148738565956
4,0.11053150535499223,0.07711944158490347,0.17446270144053078,0.6139237776333286,0.15011553368634722,0.0016241560995837734,1.0879890546547692,0.5167756177785118
5,0.2706419780696474,0.16011047271465517,0.0829910311297517,0.884565755702976,0.15644066180860272,1.00797375309729,2.095962807752059,0.4028145433885919
6,0.1617213948237698,-0.10892058324587761,-0.2690310559605328,1.0462871505267457,0.040177869252645736,0.2986662498791668,2.394629057631226,0.4194159237126209
7,0.16510612861960783,0.0033847337958380352,0.11230531704171565,1.2113932791463535,0.12875182848086633,0.08228164119216697,2.476910698823393,0.47009517237033893
8,0.5231731418863248,0.35806701326671697,0.35468227947087894,1.7345664210326783,0.4272386367663195,1.7414725417801744,4.2183832406035675,0.40167032993353396
9,0.13253502440303433,-0.39063811748329047,-0.7487051307500074,1.8671014454357127,0.00711824075238591,0.12134102005951153,4.339724260663079,0.42054446083029007
10,0.1527015950402144,0.02016657063718008,0.41080468812047055,2.019803040475927,0.2653456165396687,0.09645306019888555,4.436177320861964,0.4452654509749465
11,0.18511180354566759,0.032410208505453175,0.012243637868273094,2.2049148440215944,0.1040333964108873,1.1021396596890456,5.53831698055101,0.39105904326189855
12,0.0643682974756542,-0.12074350607001338,-0.15315371457546656,2.2692831414972487,0.04816990019420888,0.3034379361476649,5.841754916698675,0.3819213638582884
13,0.5228616721213555,0.4584933746457013,0.5792368807157147,2.792144813618604,0.6178651150548297,0.004766670271236784,5.846521586969912,0.46954253386328987
14,0.32111669281736455,-0.20174497930399093,-0.6602383539496922,3.1132615064359683,0.014762609745118907,0.01448035380481183,5.861001940774724,0.5222715136427807
15,0.7971593019752967,0.4760426091579322,0.6777875884619231,3.9104208084112653,0.7694386663289503,0.08752087835742028,5.948522819132144,0.6465083997107812
16,0.040757410712592645,-0.7564018912627041,-1.2324445004206361,3.951178219123858,0.0010142417065362981,0.07652236567441972,6.025045184806563,0.6450855626216317
17,0.018795761734199945,-0.0219616489783927,0.7344402422843114,3.969973980858058,0.42789436916335083,1.517038414862102,7.542083599668665,0.5194884260400112
18,0.01123938977567418,-0.007556371958525765,0.014405277019866936,3.981213370633732,0.07962292060804121,1.6512899528902711,9.193373552558937,0.4283926981001966
19,0.10866233777992229,0.09742294800424811,0.10497931996277388,4.089875708413654,0.12734441819060907,0.3027368815862046,9.496110434145141,0.42620140071137025
20,0.015321681507605156,-0.09334065627231714,-0.19076360427656525,4.105197389921259,0.041381909292346974,0.055032598372495634,9.551143032517636,0.4253586726556223
21,0.19931317201498266,0.1839914905073775,0.27733214677969464,4.304510561936242,0.23414678677529174,1.9994146238494133,11.55055765636705,0.3694681996259484
22,0.01270255150464672,-0.18661062051033594,-0.37060211101771345,4.317213113440888,0.022327336676052818,0.3798495116781553,11.930407168045205,0.3588584370534138
23,0.130954538928987,0.11825198742434029,0.30486260793467623,4.448167652369875,0.219132590875665,0.9294275478433158,12.859834715888521,0.3432271899977631
24,0.7788686632200876,0.6479141242911006,0.5296621368667603,5.227036315589963,0.7120176546805775,0.17184111530044144,13.031675831188963,0.39804792494003405
25,0.3319567762154072,-0.44691188700468043,-1.094826011295781,5.5589930918053705,0.0032254415895764227,0.19550019388687967,13.227176025075842,0.41711710578038497
26,0.021373463250517477,-0.3105833129648897,0.1363285740397907,5.580366555055888,0.0855253130990278,0.6626978514371173,13.88987387651296,0.39888612322835465
27,0.11376031151508037,0.09238684826456289,0.4029701612294526,5.694126866570969,0.2634599594014621,1.0649510371763733,14.954824913689333,0.3782260437577927
28,0.0005493946427963525,-0.11321091687228402,-0.2055977651368469,5.694676261213765,0.03808226954021396,0.00273768098591054,14.957562594675244,0.37819376312787534
29,0.6463710737346837,0.6458216790918874,0.7590325959641714,6.341047334948448,0.8009872406382983,0.11653514470654758,15.074097739381791,0.4178862851589085
30,0.0023258347338419583,-0.6440452390008418,-1.2898669180927291,6.34337316968229,0.0009018525686415199,0.029557761194748178,15.10365550057654,0.4172268418895536
