Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.00018902035488299607,0.0,0.0,0.00018902035488299607,0.07587805895576445,1.3853815929221192e-05,1.3853815929221192e-05,0.0018899417197829323
2,0.0023370551545398577,0.0021480347996568616,0.0021480347996568616,0.0025260755094228537,0.07671063898818326,0.03587723805906495,0.035891091874994174,0.018588970583491838
3,0.012755337525755417,0.01041828237121556,0.008270247571558698,0.01528141303517827,0.0797581218526707,0.0059966441343874965,0.04188773600938167,0.1077007320362618
4,0.2537407604347198,0.2409854229089644,0.23056714053774885,0.2690221734698981,0.2338492966069364,0.0010472016385814076,0.04293493764796308,1.8821302747721305
5,0.053033704421871386,-0.20070705601284844,-0.44169247892181285,0.3220558778917695,0.018960889134178625,0.04708706105164717,0.09002199869961025,1.694834703853844
