Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.0036074143634218236,0.0,0.0,0.0036074143634218236,0.07623839144125553,0.0078830278516544,0.0078830278516544,0.03343820094095091
2,0.004761489097261706,0.0011540747338398827,0.0011540747338398827,0.00836890346068353,0.07668661897261203,1.734465645156822,1.7423486730084763,0.00454251878772625
3,0.2794898321125828,0.2747283430153211,0.27357426828148124,0.28785873557326636,0.27183862278859394,0.9180078548943005,2.6603565279027768,0.10428317235961235
4,0.004409918746722252,-0.2750799133658606,-0.5498082563811817,0.2922686543199886,0.011915951433916962,0.9914572864485078,3.651813814351285,0.07790062854452279
5,0.15348022958813745,0.1490703108414152,0.42415022420727577,0.44574888390812606,0.29979826830961254,0.19112104245962203,3.8429348568109067,0.11305002494224647
