Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.21102006985282828,0.0,0.0,0.21102006985282828,0.10124475022324968,0.7198190886527429,0.7198190886527429,0.25739833674720847
2,0.012464534769942248,-0.19855553508288604,-0.19855553508288604,0.22348460462277053,0.03642042472419864,0.42130317091758507,1.141122259570328,0.18006655097793514
3,0.20394719794732408,0.19148266317738183,0.39003819826026787,0.4274318025700946,0.30312053183050663,0.18663395836862184,1.32775621793895,0.29937309829203024
4,0.11315905799527082,-0.09078813995205326,-0.2822708031294351,0.5405908605653654,0.03669032056920168,0.041008907747525414,1.3687651256864752,0.3680580721255229
5,1.163430906162502,1.0502718481672313,1.1410599881192844,1.7040217667278674,0.9763070169207896,1.7812282810773032,3.1499934067637785,0.524315453434925
6,0.05425229086214345,-1.1091786153003587,-2.15945046346759,1.7582740575900109,4.511947033384797e-05,0.28400981341300957,3.434003220176788,0.4975304061839687
7,0.24147558544087144,0.187223294578728,1.2964019098790867,1.9997496430308823,0.8742029213534405,0.03753332669894449,3.4715365468757327,0.5599129721296566
8,0.0005574161766384034,-0.24091816926423304,-0.42814146384296103,2.000307059207521,0.017558434454741884,0.33555409162685024,3.807090638502583,0.5119684297813349
9,0.02443656375341896,0.023879147576780557,0.2647973168410136,2.0247436229609397,0.1617758168317966,0.16704799898115186,3.9741386374837346,0.49697464988856144
10,0.010103636297480567,-0.014332927455938393,-0.03821207503271895,2.03484725925842,0.0682546681895666,1.055313896857681,5.029452534341416,0.3966987208937454
11,0.18949756134098217,0.1793939250435016,0.19372685249944,2.224344820599402,0.18920576535116929,0.002463615400552732,5.031916149741968,0.43343358614915056
12,0.05536185234564672,-0.13413570899533545,-0.31352963403883705,2.279706672945049,0.029549836686111716,1.601680314052373,6.6335964637943405,0.3385570675645223
13,0.22213548583465104,0.1667736334890043,0.30090934248433976,2.5018421587797,0.25024705226014965,0.6458337624012849,7.279430226195625,0.33902917733385685
14,0.30938338925974385,0.08724790342509281,-0.0795257300639115,2.811225548039444,0.10090091923896524,0.2640714518129236,7.543501678008549,0.36779288688164263
