Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.24008639856506564,0.0,0.0,0.24008639856506564,0.1052815966760066,0.09420148251167726,0.09420148251167726,1.2362747980084514
2,3.5431572634525565e-05,-0.24005096699243111,-0.24005096699243111,0.24012183013770017,0.03046758076712085,0.06115049902353498,0.15535198153521224,0.9403562435429472
3,0.16339993063956526,0.16336449906693074,0.40341546605936185,0.4035217607772654,0.2929106948354173,0.0723027328373127,0.22765471437252494,1.2315457189438879
4,0.25280322538853395,0.08940329474896869,-0.07396120431796205,0.6563249861657994,0.09506730295342003,1.7036370909877565,1.9312918053602814,0.32310718944164196
5,0.449228033290912,0.19642480790237804,0.10702151315340935,1.1055530194567114,0.21270972035034474,0.007295726399929259,1.9385875317602106,0.5423132449466743
6,0.02140189898820888,-0.4278261343027031,-0.6242509422050811,1.1269549184449201,0.008421784306077694,0.004584288716958818,1.9431718204771693,0.5515712908480341
